DEPARTAMENTO,MUNICIPIO
SUCRE,SAN PEDRO
SUCRE,SUCRE
SUCRE,TOLÚ VIEJO
TOLIMA,ALPUJARRA
TOLIMA,ALVARADO
TOLIMA,AMBALEMA
TOLIMA,ARMERO
TOLIMA,ATACO
TOLIMA,CAJAMARCA
TOLIMA,CHAPARRAL
TOLIMA,COELLO
TOLIMA,COYAIMA
TOLIMA,CUNDAY
TOLIMA,DOLORES
TOLIMA,ESPINAL
TOLIMA,FALAN
TOLIMA,FLANDES
TOLIMA,FRESNO
TOLIMA,GUAMO
TOLIMA,HERVEO
TOLIMA,HONDA
TOLIMA,ICONONZO
TOLIMA,MARIQUITA
TOLIMA,MELGAR
TOLIMA,MURILLO
TOLIMA,NATAGAIMA
TOLIMA,ORTEGA
TOLIMA,PALOCABILDO
TOLIMA,PIEDRAS
TOLIMA,PLANADAS
TOLIMA,PRADO
TOLIMA,PURIFICACIÓN
TOLIMA,RIO BLANCO
TOLIMA,RONCESVALLES
TOLIMA,ROVIRA
TOLIMA,SALDAÑA
TOLIMA,SANTA ISABEL
TOLIMA,VENADILLO
TOLIMA,VILLAHERMOSA
TOLIMA,VILLARRICA
ARAUCA,ARAUQUITA
ARAUCA,CRAVO NORTE
ARAUCA,FORTUL
ARAUCA,PUERTO RONDÓN
ARAUCA,SARAVENA
ARAUCA,TAME
ARAUCA,ARAUCA
CASANARE,YOPAL
CASANARE,AGUAZUL
CASANARE,CHÁMEZA
CASANARE,HATO COROZAL
CASANARE,LA SALINA
CASANARE,MONTERREY
CASANARE,PORE
CASANARE,RECETOR
CASANARE,SABANALARGA
CASANARE,SÁCAMA
CASANARE,TAURAMENA
CASANARE,TRINIDAD
CASANARE,VILLANUEVA
PUTUMAYO,MOCOA
PUTUMAYO,COLÓN
PUTUMAYO,ORITO
PUTUMAYO,PUERTO CAICEDO
PUTUMAYO,PUERTO GUZMÁN
PUTUMAYO,LEGUÍZAMO
PUTUMAYO,SIBUNDOY
PUTUMAYO,SAN FRANCISCO
PUTUMAYO,SAN MIGUEL
PUTUMAYO,SANTIAGO
AMAZONAS,LETICIA
AMAZONAS,EL ENCANTO
AMAZONAS,LA CHORRERA
AMAZONAS,LA PEDRERA
AMAZONAS,LA VICTORIA
AMAZONAS,PUERTO ARICA
AMAZONAS,PUERTO NARIÑO
AMAZONAS,PUERTO SANTANDER
AMAZONAS,TARAPACÁ
GUAINÍA,INÍRIDA
GUAINÍA,BARRANCO MINAS
GUAINÍA,MAPIRIPANA
GUAINÍA,SAN FELIPE
GUAINÍA,PUERTO COLOMBIA
GUAINÍA,LA GUADALUPE
GUAINÍA,CACAHUAL
GUAINÍA,PANA PANA
GUAINÍA,MORICHAL
VAUPÉS,MITÚ
VAUPÉS,CARURU
VAUPÉS,PACOA
VAUPÉS,TARAIRA
VAUPÉS,PAPUNAUA
VICHADA,PUERTO CARREÑO
VICHADA,LA PRIMAVERA
VICHADA,SANTA ROSALÍA
VICHADA,CUMARIBO
CAQUETÁ,SAN JOSÉ DEL FRAGUA
META,BARRANCA DE UPÍA
SANTANDER,PALMAS DEL SOCORRO
CUNDINAMARCA,SAN JUAN DE RÍO SECO
ATLÁNTICO,JUAN DE ACOSTA
META,FUENTE DE ORO
CASANARE,SAN LUIS DE GACENO
CHOCÓ,EL LITORAL DEL SAN JUAN
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE
BOLÍVAR,BARRANCO DE LOBA
BOYACÁ,TOGÜÍ
BOLÍVAR,SANTA ROSA DEL SUR
CHOCÓ,EL CANTÓN DEL SAN PABLO
BOYACÁ,VILLA DE LEYVA
MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA
BOYACÁ,PAZ DE RÍO
BOLÍVAR,HATILLO DE LOBA
MAGDALENA,SABANAS DE SAN ANGEL
GUAVIARE,CALAMAR
CESAR,RÍO DE ORO
ANTIOQUIA,SAN PEDRO DE URABÁ
GUAVIARE,SAN JOSÉ DEL GUAVIARE
BOYACÁ,SANTA ROSA DE VITERBO
CAUCA,SANTANDER DE QUILICHAO
GUAVIARE,MIRAFLORES
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA
META,SAN CARLOS DE GUAROA
ATLÁNTICO,PALMAR DE VARELA
ANTIOQUIA,SANTA ROSA DE OSOS
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA
TOLIMA,VALLE DE SAN JUAN
SANTANDER,SAN VICENTE DE CHUCURÍ
SANTANDER,SAN JOSÉ DE MIRANDA
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA
RISARALDA,SANTA ROSA DE CABAL
CUNDINAMARCA,GUAYABAL DE SIQUIMA
CAQUETÁ,BELÉN DE LOS ANDAQUIES
CASANARE,PAZ DE ARIPORO
SANTANDER,SANTA HELENA DEL OPÓN
BOYACÁ,SAN PABLO DE BORBUR
LA GUAJIRA,LA JAGUA DEL PILAR
CESAR,LA JAGUA DE IBIRICO
SUCRE,SAN LUIS DE SINCÉ
BOYACÁ,SAN LUIS DE GACENO
BOLÍVAR,EL CARMEN DE BOLÍVAR
CHOCÓ,EL CARMEN DE ATRATO
SUCRE,SAN JUAN DE BETULIA
MAGDALENA,PIJIÑO DEL CARMEN
ANTIOQUIA,VIGÍA DEL FUERTE
BOLÍVAR,SAN MARTÍN DE LOBA
BOLÍVAR,ALTOS DEL ROSARIO
TOLIMA,CARMEN DE APICALA
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA
SANTANDER,SABANA DE TORRES
GUAVIARE,EL RETORNO
CÓRDOBA,SAN JOSÉ DE URÉ
NARIÑO,SAN PEDRO DE CARTAGO
ATLÁNTICO,CAMPO DE LA CRUZ
META,SAN JUAN DE ARAMA
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA
CAQUETÁ,CARTAGENA DEL CHAIRÁ
CHOCÓ,SAN JOSÉ DEL PALMAR
CUNDINAMARCA,AGUA DE DIOS
BOLÍVAR,SAN JACINTO DEL CAUCA
HUILA,SAN AGUSTÍN
NARIÑO,EL TABLÓN DE GÓMEZ
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS
BOYACÁ,SAN JOSÉ DE PARE
PUTUMAYO,VALLE DE GUAMEZ
BOLÍVAR,SAN PABLO DE BORBUR
SUCRE,SANTIAGO DE TOLÚ
BOGOTÁ D.C.,BOGOTÁ D.C.
CUNDINAMARCA,CARMEN DE CARUPA
CÓRDOBA,CIÉNAGA DE ORO
ANTIOQUIA,SAN JUAN DE URABÁ
LA GUAJIRA,SAN JUAN DEL CESAR
SANTANDER,EL CARMEN DE CHUCURÍ
ANTIOQUIA,EL CARMEN DE VIBORAL
RISARALDA,BELÉN DE UMBRÍA
CHOCÓ,BELÉN DE BAJIRA
SANTANDER,VALLE DE SAN JOSÉ
TOLIMA,SAN LUIS
BOYACÁ,SAN MIGUEL DE SEMA
TOLIMA,SAN ANTONIO
SANTANDER,SAN BENITO
CUNDINAMARCA,VERGARA
CÓRDOBA,SAN CARLOS
AMAZONAS,PUERTO ALEGRÍA
SANTANDER,HATO
BOLÍVAR,SAN JACINTO
CAUCA,SAN SEBASTIÁN
ANTIOQUIA,SAN CARLOS
BOYACÁ,TUTA
NORTE DE SANTANDER,SILOS
NORTE DE SANTANDER,CÁCOTA
VALLE DEL CAUCA,EL DOVIO
NORTE DE SANTANDER,TOLEDO
VALLE DEL CAUCA,ROLDANILLO
NORTE DE SANTANDER,MUTISCUA
VALLE DEL CAUCA,ARGELIA
NORTE DE SANTANDER,EL ZULIA
NORTE DE SANTANDER,SALAZAR
VALLE DEL CAUCA,SEVILLA
VALLE DEL CAUCA,ZARZAL
NORTE DE SANTANDER,CUCUTILLA
VALLE DEL CAUCA,EL CERRITO
VALLE DEL CAUCA,CARTAGO
VALLE DEL CAUCA,CAICEDONIA
NORTE DE SANTANDER,PUERTO SANTANDER
NORTE DE SANTANDER,GRAMALOTE
VALLE DEL CAUCA,EL CAIRO
NORTE DE SANTANDER,EL TARRA
VALLE DEL CAUCA,LA UNIÓN
VALLE DEL CAUCA,RESTREPO
NORTE DE SANTANDER,TEORAMA
VALLE DEL CAUCA,DAGUA
NORTE DE SANTANDER,ARBOLEDAS
VALLE DEL CAUCA,GUACARÍ
NORTE DE SANTANDER,LOURDES
VALLE DEL CAUCA,ANSERMANUEVO
NORTE DE SANTANDER,BOCHALEMA
VALLE DEL CAUCA,BUGALAGRANDE
NORTE DE SANTANDER,CONVENCIÓN
NORTE DE SANTANDER,HACARÍ
VALLE DEL CAUCA,LA VICTORIA
NORTE DE SANTANDER,HERRÁN
VALLE DEL CAUCA,GINEBRA
VALLE DEL CAUCA,YUMBO
VALLE DEL CAUCA,OBANDO
NORTE DE SANTANDER,TIBÚ
NORTE DE SANTANDER,SAN CAYETANO
NORTE DE SANTANDER,SAN CALIXTO
VALLE DEL CAUCA,BOLÍVAR
NORTE DE SANTANDER,LA PLAYA
VALLE DEL CAUCA,CALI
VALLE DEL CAUCA,SAN PEDRO
VALLE DEL CAUCA,GUADALAJARA DE BUGA
NORTE DE SANTANDER,CHINÁCOTA
NORTE DE SANTANDER,RAGONVALIA
NORTE DE SANTANDER,LA ESPERANZA
NORTE DE SANTANDER,VILLA DEL ROSARIO
NORTE DE SANTANDER,CHITAGÁ
VALLE DEL CAUCA,CALIMA
NORTE DE SANTANDER,SARDINATA
VALLE DEL CAUCA,ANDALUCÍA
VALLE DEL CAUCA,PRADERA
NORTE DE SANTANDER,ABREGO
NORTE DE SANTANDER,LOS PATIOS
NORTE DE SANTANDER,OCAÑA
NORTE DE SANTANDER,BUCARASICA
VALLE DEL CAUCA,YOTOCO
VALLE DEL CAUCA,PALMIRA
VALLE DEL CAUCA,RIOFRÍO
NORTE DE SANTANDER,SANTIAGO
VALLE DEL CAUCA,ALCALÁ
VALLE DEL CAUCA,VERSALLES
NORTE DE SANTANDER,LABATECA
NORTE DE SANTANDER,CACHIRÁ
NORTE DE SANTANDER,VILLA CARO
NORTE DE SANTANDER,DURANIA
VALLE DEL CAUCA,EL ÁGUILA
VALLE DEL CAUCA,TORO
VALLE DEL CAUCA,CANDELARIA
VALLE DEL CAUCA,LA CUMBRE
VALLE DEL CAUCA,ULLOA
VALLE DEL CAUCA,TRUJILLO
VALLE DEL CAUCA,VIJES
